force,x,y,strain,Z1,Z2,Z3,Z4,Z5,Z6,Z1-Z4,Z2-Z6,Z3-Z5,Tforce
1.5,1,1,0,1747508,4185835.2,3730386,1895300,3808857,4457791,-147792,-271955.8,-78471,1.49E+00
1.5,1,1,0,1750728,4197735.2,3748866,1894675,3814759,4443842,-143947,-246106.8,-65893,1.50E+00
1.5,1,1,0,1747830,4206330.4,3740695.2,1895575,3814369,4456257,-147745,-249926.6,-73673.8,1.50E+00
1.5,1,1,0,1749972,4184883.2,3745302,1891962.5,3820297,4456842,-141990.5,-271958.8,-74995,1.50E+00
1.5,1,1,0,1754074,4206017.6,3748720.8,1897175,3815409,4446104,-143101,-240086.4,-66688.2,1.50E+00
1.5,1,1,0,1746192,4186474.4,3740272.8,1899437.5,3824821,4460716,-153245.5,-274241.6,-84548.2,1.50E+00
1.5,1,1,0,1749034,4186202.4,3732735.6,1897287.5,3818152,4470076,-148253.5,-283873.6,-85416.4,1.50E+00
1.5,1,1,0,1752492,4193872.8,3747532.8,1894825,3808376,4443257,-142333,-249384.2,-60843.2,1.49E+00
1.5,1,1,0,1745562,4190173.6,3753723.6,1900387.5,3822884,4454034,-154825.5,-263860.4,-69160.4,1.49E+00
1.5,1,1,0,1749188,4200727.2,3734425.2,1892537.5,3814304,4459754,-143349.5,-259026.8,-79878.8,1.49E+00
1.5,1,1,0,1750798,4204589.6,3743929.2,1890225,3815149,4429035,-139427,-224445.4,-71219.8,1.49E+00
1.5,1,1,0,1744568,4205976.8,3751387.2,1897587.5,3820037,4453670,-153019.5,-247693.2,-68649.8,1.49E+00
1.5,1,1,0,1748572,4172656.8,3736458,1893462.5,3818737,4468152,-144890.5,-295495.2,-82279,1.49E+00
1.5,1,1,0,1751078,4206575.2,3725964,1889525,3807908,4447014,-138447,-240438.8,-81944,1.49E+00
1.5,1,1,0,1749202,4191710.4,3750080.4,1898437.5,3816865,4444635,-149235.5,-252924.6,-66784.6,1.49E+00
1.5,1,1,0,1745240,4180204.8,3741249.6,1897487.5,3834025,4460950,-152247.5,-280745.2,-92775.4,1.49E+00
1.5,1,1,0,1750210,4194131.2,3733052.4,1893775,3816670,4447586,-143565,-253454.8,-83617.6,1.48E+00
1.5,1,1,0,1751932,4189888,3759597.6,1898125,3815357,4441216,-146193,-251328,-55759.4,1.48E+00
1.5,1,1,0,1745086,4196769.6,3732313.2,1896012.5,3829787,4444271,-150926.5,-247501.4,-97473.8,1.48E+00
1.5,1,1,0,1749846,4176954.4,3737751.6,1892187.5,3807531,4437030,-142341.5,-260075.6,-69779.4,1.48E+00
1.5,1,1,0,1747634,4196157.6,3745394.4,1895700,3815630,4442308,-148066,-246150.4,-70235.6,1.48E+00
